student_id,top_matches
S00001,"[('J01063', 1.0), ('J02586', 0.8936284279720599), ('J02718', 0.8675127961186021), ('J04242', 0.7554799601419504), ('J00387', 0.7550756272008269)]"
S00002,"[('J01459', 0.8577706618820045), ('J04299', 0.855720092063235), ('J04475', 0.855720092063235), ('J01789', 0.7732172315074956), ('J03087', 0.7732172315074956)]"
S00003,"[('J04757', 0.8344463011383898), ('J02465', 0.8207091041148845), ('J03197', 0.8207091041148845), ('J03679', 0.8205046931287481), ('J01092', 0.8204637129721054)]"
S00004,"[('J00053', 0.8450450529414351), ('J03390', 0.7699665290537114), ('J01307', 0.756217506781135), ('J03442', 0.7130659039810379), ('J01514', 0.7127418929798903)]"
S00005,"[('J00638', 0.8677350570619627), ('J03288', 0.8652075184607402), ('J00952', 0.8644434436907018), ('J00697', 0.7546702697235228), ('J04598', 0.7544582954449048)]"
S00006,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00007,"[('J00964', 0.8664266402625996), ('J03916', 0.8664266402625996), ('J00599', 0.8664266402625996), ('J00245', 0.8663101649706212), ('J02706', 0.7572537234485456)]"
S00008,"[('J04453', 0.8971807963699352), ('J01956', 0.8971807963699352), ('J03738', 0.8951529731156489), ('J04078', 0.7365052240249527), ('J01851', 0.7363260975058704)]"
S00009,"[('J01707', 0.8492510431905447), ('J00390', 0.8125489022973427), ('J02917', 0.7548268112304467), ('J04958', 0.7548268112304467), ('J02124', 0.7526609708924042)]"
S00010,"[('J03884', 0.8181562883668124), ('J03573', 0.7737544152514566), ('J03103', 0.7711188796831732), ('J03831', 0.7323024870084448), ('J02306', 0.7321267086117588)]"
S00011,"[('J02618', 0.7510837636557679), ('J01096', 0.7484572155514715), ('J01850', 0.7068462908231415), ('J02872', 0.7053900904041045), ('J00010', 0.7042198845363502)]"
S00012,"[('J04975', 0.8716345709360939), ('J03757', 0.8716345709360939), ('J03318', 0.7126047664094491), ('J00851', 0.6897983843700334), ('J02391', 0.6897926522117771)]"
S00013,"[('J04162', 0.7716700678944821), ('J02705', 0.7287063899426903), ('J03466', 0.7283650070636158), ('J00482', 0.711466188852307), ('J00553', 0.6760066459283971)]"
S00014,"[('J04839', 1.0000000000000002), ('J00694', 0.8464311034263139), ('J04006', 0.8051686380675531), ('J02684', 0.8044396204395736), ('J04680', 0.8032741369240951)]"
S00015,"[('J01560', 0.8481507164558553), ('J01196', 0.784621258805329), ('J02234', 0.7635123672067045), ('J00789', 0.747643246086754), ('J04973', 0.7474658780982998)]"
S00016,"[('J02200', 0.7755092320443199), ('J00620', 0.7721451607608004), ('J02762', 0.7712420301613027), ('J03854', 0.7712219647262032), ('J02038', 0.7602548884996557)]"
S00017,"[('J00720', 0.8653370254382495), ('J04063', 0.8287049081179276), ('J02634', 0.7854022172327777), ('J03786', 0.7385548223849773), ('J04668', 0.7385548223849773)]"
S00018,"[('J02632', 0.7758684756984469), ('J02334', 0.7756506181888086), ('J04090', 0.7735424831056815), ('J00170', 0.7584169843086371), ('J04756', 0.7581502623342089)]"
S00019,"[('J00837', 1.0000000000000002), ('J00793', 0.847408717819073), ('J03247', 0.8003761887145635), ('J01776', 0.7748037082141073), ('J03854', 0.7740297965276263)]"
S00020,"[('J02682', 0.8358387670785057), ('J04122', 0.8350023952907334), ('J04898', 0.833765959409294), ('J04655', 0.8336634719048295), ('J03611', 0.8334021009075073)]"
S00021,"[('J04061', 0.8669300076708474), ('J04631', 0.8669300076708474), ('J00460', 0.8202349878909123), ('J01028', 0.8191342528822132), ('J02778', 0.8173551058625027)]"
S00022,"[('J00891', 0.8045583400408601), ('J03820', 0.7910957496899089), ('J01616', 0.7516052934621273), ('J00711', 0.7247352918741765), ('J01776', 0.7240426063251625)]"
S00023,"[('J04870', 0.7583767382743842), ('J04370', 0.7583767382743842), ('J04474', 0.7569319179355141), ('J04086', 0.7457633544126492), ('J03678', 0.717025703998661)]"
S00024,"[('J02121', 0.8148966907678028), ('J03360', 0.753807211604537), ('J04615', 0.753807211604537), ('J04109', 0.7528577366580425), ('J03194', 0.7433176249009366)]"
S00025,"[('J04793', 1.0000000000000002), ('J01174', 0.7722570961377498), ('J01322', 0.7716488305053223), ('J04074', 0.7713360175078771), ('J04502', 0.7164681292818103)]"
S00026,"[('J02783', 0.8641090207970781), ('J01852', 0.7069950661065426), ('J01329', 0.7045589353997238), ('J02487', 0.7045589353997238), ('J03486', 0.7041702460048718)]"
S00027,"[('J02539', 1.0000000000000002), ('J02514', 0.8675934720261056), ('J04140', 0.8640610326405789), ('J04541', 0.8159076840656017), ('J04498', 0.8155079238414797)]"
S00028,"[('J00669', 0.854172246083411), ('J03834', 0.81634217719615), ('J00718', 0.7696108235301232), ('J04793', 0.7680225327141021), ('J00193', 0.7324259719177328)]"
S00029,"[('J04625', 0.867992215728079), ('J00623', 0.8495773889723998), ('J02364', 0.8319616130467967), ('J04279', 0.7618458364163027), ('J03013', 0.7517454413022338)]"
S00030,"[('J04961', 1.0000000000000002), ('J03935', 1.0000000000000002), ('J00438', 1.0000000000000002), ('J00057', 1.0000000000000002), ('J00568', 0.7740199508903282)]"
S00031,"[('J03783', 0.8041298396447638), ('J04403', 0.8041298396447638), ('J04722', 0.8029895067007998), ('J01108', 0.7950759185560008), ('J01227', 0.7898510621583101)]"
S00032,"[('J01659', 0.8627300375521972), ('J00469', 0.773628608367306), ('J02002', 0.7727657809309213), ('J03390', 0.7089729500702922), ('J03226', 0.7084499940857311)]"
S00033,"[('J03525', 1.0), ('J03661', 0.8935294496360029), ('J04566', 0.8917465773953377), ('J02683', 0.8179825848696324), ('J00345', 0.8168297162564695)]"
S00034,"[('J02215', 0.7476976714186734), ('J04386', 0.7469745858169465), ('J03660', 0.7448507316525541), ('J00465', 0.7437331282606866), ('J02496', 0.7360021572508523)]"
S00035,"[('J03046', 0.8932718401518345), ('J02645', 0.7291463302712864), ('J01665', 0.7291463302712864), ('J03065', 0.6797322614338812), ('J03396', 0.6787423493975024)]"
S00036,"[('J01811', 0.8697544430755133), ('J01241', 0.7520577638316724), ('J02409', 0.7509770807220714), ('J03046', 0.750600113709787), ('J00024', 0.7499456054678967)]"
S00037,"[('J00525', 1.0000000000000004), ('J01185', 0.8180463213337275), ('J02141', 0.8180463213337275), ('J00778', 0.816219146777443), ('J03791', 0.7580910618685045)]"
S00038,"[('J04412', 0.8967389430943731), ('J02096', 0.8967389430943731), ('J00746', 0.8493679733897805), ('J00122', 0.8002746633697222), ('J01794', 0.7990860607867656)]"
S00039,"[('J00461', 0.7644026987566277), ('J04375', 0.7547254554617258), ('J02521', 0.7325938483384686), ('J04261', 0.6914782106676172), ('J00192', 0.6890487294606749)]"
S00040,"[('J04929', 1.0), ('J03204', 0.8957624458562808), ('J02692', 0.8192008354871629), ('J01826', 0.7582110977228098), ('J01829', 0.7571349903872452)]"
S00041,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00042,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00043,"[('J03719', 0.8527088224350402), ('J02231', 0.7839072003615536), ('J01935', 0.7612520243502778), ('J04156', 0.7446073843686142), ('J04137', 0.7106796550820651)]"
S00044,"[('J02583', 0.8218988794177631), ('J04874', 0.820645358161127), ('J04651', 0.80605678058266), ('J00917', 0.762136713754549), ('J01356', 0.7612228974917175)]"
S00045,"[('J04641', 1.0), ('J02856', 0.8429723994827413), ('J00445', 0.7572474667146), ('J01167', 0.7568872711668843), ('J03767', 0.7542266912050015)]"
S00046,"[('J00119', 1.0), ('J00508', 0.7737668770692936), ('J04124', 0.7705603311351573), ('J02730', 0.7549819222340715), ('J01758', 0.7540599091256582)]"
S00047,"[('J04866', 0.7354219043680336), ('J03851', 0.7336261013506175), ('J04613', 0.7264758055676956), ('J02028', 0.7143405127139011), ('J04523', 0.7130136957402662)]"
S00048,"[('J04048', 0.897265125248984), ('J02799', 0.8947260466291317), ('J03393', 0.8040856475882954), ('J01969', 0.8040856475882954), ('J01627', 0.8040856475882954)]"
S00049,"[('J03609', 0.8465618393896671), ('J04403', 0.8023088985252333), ('J03783', 0.8023088985252333), ('J02258', 0.8019059768694314), ('J03718', 0.8017463999785062)]"
S00050,"[('J01343', 0.925446182993602), ('J01215', 0.7697677390901456), ('J04150', 0.756709736997295), ('J00527', 0.7526653155264287), ('J01459', 0.7117034706289896)]"
S00051,"[('J01376', 0.9277463920516172), ('J01113', 0.8362897660089001), ('J02485', 0.7316953781220097), ('J03511', 0.7108210278442662), ('J00699', 0.7051716040194861)]"
S00052,"[('J01831', 0.7782912960548871), ('J02647', 0.772621147501009), ('J03307', 0.7718822348286405), ('J01419', 0.7718822348286405), ('J02525', 0.7312349215627184)]"
S00053,"[('J02361', 0.7478915477414451), ('J04709', 0.728595122010006), ('J00060', 0.7006518065245609), ('J02288', 0.6992613542986583), ('J04587', 0.6841951345537709)]"
S00054,"[('J01921', 1.0000000000000002), ('J02167', 0.8666165380926636), ('J03503', 0.8183370458353733), ('J02990', 0.8181656801664393), ('J02590', 0.7572498734394327)]"
S00055,"[('J01408', 1.0000000000000004), ('J03974', 0.7753043676951846), ('J01661', 0.7061950976234266), ('J04684', 0.7054597575670459), ('J00966', 0.7048040182592751)]"
S00056,"[('J00115', 1.0), ('J02328', 0.7893911664934972), ('J01568', 0.7724093832212998), ('J03398', 0.7319341669916638), ('J01611', 0.7297734568920926)]"
S00057,"[('J00890', 0.7746724140378941), ('J03336', 0.7487974817301627), ('J00324', 0.7464643007816922), ('J04692', 0.7241682909178659), ('J02749', 0.7217685673402241)]"
S00058,"[('J03365', 0.8668543282031429), ('J03407', 0.8661003621674083), ('J01175', 0.8661003621674083), ('J01472', 0.8658667652710498), ('J04598', 0.7587748176428525)]"
S00059,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00060,"[('J03188', 0.8704169343792751), ('J01492', 0.8640109724450876), ('J03453', 0.8640109724450876), ('J02034', 0.8168788940027388), ('J04198', 0.7493575548639174)]"
S00061,"[('J00800', 0.7855060844359426), ('J00172', 0.78535575037631), ('J00889', 0.76670721359405), ('J02207', 0.7665364698615372), ('J02778', 0.7414876723127259)]"
S00062,"[('J02886', 0.86680630784952), ('J02593', 0.7767012201453876), ('J01133', 0.7758939711600079), ('J00140', 0.7730120688430479), ('J04154', 0.7081765564636936)]"
S00063,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00064,"[('J03532', 0.8635175371979281), ('J04988', 0.7554984060753491), ('J00129', 0.754794330241338), ('J00351', 0.7485948874540845), ('J00204', 0.6715324472080387)]"
S00065,"[('J02881', 0.7981007010301905), ('J01105', 0.7962472590851127), ('J03920', 0.7761026510373721), ('J04429', 0.7740650404136435), ('J01759', 0.7723818190265351)]"
S00066,"[('J03594', 0.9140019125038984), ('J03817', 0.913345083860991), ('J03854', 0.8366267729981028), ('J01177', 0.8200638197874095), ('J00573', 0.8193316878264709)]"
S00067,"[('J00517', 0.9270037313718491), ('J01670', 0.8668639586333139), ('J03154', 0.8180053534378229), ('J00526', 0.8180053534378229), ('J04048', 0.8170626703414691)]"
S00068,"[('J01292', 0.8673846614464974), ('J00986', 0.8659099011201881), ('J02287', 0.8642706912627041), ('J02295', 0.8642706912627041), ('J02944', 0.775968661794632)]"
S00069,"[('J02651', 1.0000000000000002), ('J02041', 0.7726595996502215), ('J01319', 0.7726595996502215), ('J04092', 0.7088876689215211), ('J03571', 0.7042587955709676)]"
S00070,"[('J00050', 0.8175995300475094), ('J00483', 0.7706142580075048), ('J03439', 0.7706142580075048), ('J02183', 0.7331457939336351), ('J01382', 0.7330363984009225)]"
S00071,"[('J03763', 0.805858632574563), ('J01649', 0.8022686409940498), ('J01395', 0.7992169673521876), ('J01324', 0.7927448904100245), ('J03941', 0.7893916547358523)]"
S00072,"[('J02482', 0.8959573312456792), ('J01697', 0.8054148648457509), ('J04876', 0.8046060381238892), ('J04151', 0.8028992955615051), ('J04388', 0.8003982213890792)]"
S00073,"[('J00949', 1.0), ('J00463', 1.0), ('J01585', 0.7712790271798051), ('J04465', 0.7567182685492394), ('J00526', 0.7560652197419594)]"
S00074,"[('J03886', 0.7739829623645333), ('J04065', 0.7705494684857398), ('J04947', 0.7681149870762429), ('J00421', 0.7603365646566802), ('J04198', 0.7529453635188359)]"
S00075,"[('J03649', 0.8496726509110202), ('J00787', 0.7975998918267908), ('J03569', 0.7604781151735569), ('J02924', 0.7300857684802843), ('J01011', 0.7161660874427461)]"
S00076,"[('J01312', 0.8582819062886797), ('J03342', 0.8037139096007893), ('J04041', 0.7995088062723307), ('J03947', 0.7995088062723307), ('J03417', 0.7754241293362658)]"
S00077,"[('J02084', 0.8956184212492003), ('J03682', 0.8162969681223201), ('J03310', 0.8154562254903066), ('J03670', 0.7573512294892104), ('J00208', 0.7572313717292156)]"
S00078,"[('J00801', 0.8128718986092272), ('J01599', 0.7476477926906523), ('J02844', 0.7456505229740465), ('J01642', 0.744568748432496), ('J03625', 0.7434775430862552)]"
S00079,"[('J04683', 0.7791905482090518), ('J01635', 0.7791905482090518), ('J03370', 0.7769114676165665), ('J03326', 0.7749422667149152), ('J03361', 0.7749401565000891)]"
S00080,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00081,"[('J01399', 1.0), ('J01739', 0.9103964024125936), ('J02113', 0.8494751877276883), ('J01859', 0.7674059711379838), ('J00036', 0.7326653368149922)]"
