student_id,top_matches
S00001,"[('J01063', np.float64(0.5)), ('J02586', np.float64(0.4468)), ('J02718', np.float64(0.4338)), ('J04242', np.float64(0.3777)), ('J00387', np.float64(0.3775))]"
S00002,"[('J01459', np.float64(0.4289)), ('J04299', np.float64(0.4279)), ('J04475', np.float64(0.4279)), ('J01789', np.float64(0.3866)), ('J03087', np.float64(0.3866))]"
S00003,"[('J04757', np.float64(0.4172)), ('J02465', np.float64(0.4104)), ('J03197', np.float64(0.4104)), ('J03679', np.float64(0.4103)), ('J01092', np.float64(0.4102))]"
S00004,"[('J00053', np.float64(0.4225)), ('J03390', np.float64(0.385)), ('J01307', np.float64(0.3781)), ('J03442', np.float64(0.3565)), ('J01514', np.float64(0.3564))]"
S00005,"[('J00638', np.float64(0.4339)), ('J03288', np.float64(0.4326)), ('J00952', np.float64(0.4322)), ('J00697', np.float64(0.3773)), ('J04598', np.float64(0.3772))]"
S00006,"[('J00001', np.float64(0.0)), ('J00002', np.float64(0.0)), ('J00003', np.float64(0.0)), ('J00004', np.float64(0.0)), ('J00005', np.float64(0.0))]"
S00007,"[('J00245', np.float64(0.4332)), ('J00599', np.float64(0.4332)), ('J00964', np.float64(0.4332)), ('J03916', np.float64(0.4332)), ('J02706', np.float64(0.3786))]"
S00008,"[('J01956', np.float64(0.4486)), ('J04453', np.float64(0.4486)), ('J03738', np.float64(0.4476)), ('J04078', np.float64(0.3683)), ('J01851', np.float64(0.3682))]"
S00009,"[('J01707', np.float64(0.4246)), ('J00390', np.float64(0.4063)), ('J02917', np.float64(0.3774)), ('J04958', np.float64(0.3774)), ('J02124', np.float64(0.3763))]"
S00010,"[('J03884', np.float64(0.4091)), ('J03573', np.float64(0.3869)), ('J03103', np.float64(0.3856)), ('J03831', np.float64(0.3662)), ('J02306', np.float64(0.3661))]"
S00011,"[('J02618', np.float64(0.3755)), ('J01096', np.float64(0.3742)), ('J01850', np.float64(0.3534)), ('J02872', np.float64(0.3527)), ('J00010', np.float64(0.3521))]"
S00012,"[('J03757', np.float64(0.4358)), ('J04975', np.float64(0.4358)), ('J03318', np.float64(0.3563)), ('J00851', np.float64(0.3449)), ('J02391', np.float64(0.3449))]"
S00013,"[('J04162', np.float64(0.3858)), ('J02705', np.float64(0.3644)), ('J03466', np.float64(0.3642)), ('J00482', np.float64(0.3557)), ('J00553', np.float64(0.338))]"
S00014,"[('J04839', np.float64(0.5)), ('J00694', np.float64(0.4232)), ('J04006', np.float64(0.4026)), ('J02684', np.float64(0.4022)), ('J04680', np.float64(0.4016))]"
S00015,"[('J01560', np.float64(0.4241)), ('J01196', np.float64(0.3923)), ('J02234', np.float64(0.3818)), ('J00789', np.float64(0.3738)), ('J04973', np.float64(0.3737))]"
S00016,"[('J02200', np.float64(0.3878)), ('J00620', np.float64(0.3861)), ('J02762', np.float64(0.3856)), ('J03854', np.float64(0.3856)), ('J02038', np.float64(0.3801))]"
