student_id,rank,job_id,score,missing_skills,missing_count,missing_pct
S00001,1,J01063,1.0,,0,0.0
S00001,2,J02586,0.8936,aws,1,20.0
S00001,3,J02718,0.8675,,0,0.0
S00001,4,J04242,0.7555,animation;data_science;it_support,3,42.86
S00001,5,J00387,0.7551,cybersecurity;game_development;it_support,3,42.86
S00001,6,J01975,0.7541,it_support,1,25.0
S00001,7,J00190,0.7526,data_science,1,25.0
S00001,8,J01532,0.7518,tableau,1,25.0
S00001,9,J02417,0.7461,public_policy,1,25.0
S00001,10,J00165,0.6725,data_science;it_support,2,40.0
S00002,1,J01459,0.8578,java,1,14.29
S00002,2,J04299,0.8557,aws,1,14.29
S00002,3,J04475,0.8557,aws,1,14.29
S00002,4,J01789,0.7732,customer_support,1,16.67
S00002,5,J03087,0.7732,customer_support,1,16.67
S00002,6,J02937,0.746,java;origami,2,25.0
S00002,7,J01011,0.7431,aws;basket_weaving,2,25.0
S00002,8,J00132,0.7175,it_support;sql,2,28.57
S00002,9,J00414,0.7151,data_science;tableau,2,28.57
S00002,10,J03277,0.7149,cloud_computing;robotics,2,28.57
S00003,1,J04757,0.8344,sound_engineering,1,20.0
S00003,2,J02465,0.8207,,0,0.0
S00003,3,J03197,0.8207,,0,0.0
S00003,4,J03679,0.8205,,0,0.0
S00003,5,J01092,0.8205,,0,0.0
S00003,6,J00170,0.8175,,0,0.0
S00003,7,J03841,0.7355,java,1,25.0
S00003,8,J04190,0.735,kubernetes,1,25.0
S00003,9,J02115,0.7332,sql,1,25.0
S00003,10,J02606,0.7313,python,1,25.0
S00004,1,J00053,0.845,,0,0.0
S00004,2,J03390,0.77,animation,1,16.67
S00004,3,J01307,0.7562,,0,0.0
S00004,4,J03442,0.7131,aws;sound_engineering,2,28.57
S00004,5,J01514,0.7127,aws;customer_support,2,28.57
S00004,6,J03797,0.7127,data_science;public_policy,2,28.57
S00004,7,J00589,0.7122,public_policy;react,2,28.57
S00004,8,J02528,0.7107,public_policy;react,2,28.57
S00004,9,J00668,0.7105,c++;it_support,2,28.57
S00004,10,J04912,0.6792,data_science,1,20.0
S00005,1,J00638,0.8677,,0,0.0
S00005,2,J03288,0.8652,,0,0.0
S00005,3,J00952,0.8644,,0,0.0
S00005,4,J00697,0.7547,blockchain;figma;python,3,42.86
S00005,5,J04598,0.7545,aws;cloud_computing;python,3,42.86
S00005,6,J00538,0.7539,kubernetes,1,25.0
S00005,7,J02931,0.75,branding,1,25.0
S00005,8,J02087,0.75,branding,1,25.0
S00005,9,J00615,0.7493,cloud_computing,1,25.0
S00005,10,J04543,0.7482,react,1,25.0
S00006,1,J05000,0.0,ai/ml;cybersecurity;it_support;kubernetes;rocket_science,5,100.0
S00006,2,J01670,0.0,ai/ml;animation;c++;iot;it_support;java;sound_engineering,7,100.0
S00006,3,J01663,0.0,aws;branding;figma,3,100.0
S00006,4,J01664,0.0,ai/ml;blockchain;c++;java;public_policy;react,6,100.0
S00006,5,J01665,0.0,data_science;it_support;python;react;sql;tableau,6,100.0
S00006,6,J01666,0.0,c++;cybersecurity;finance;it_support;react;robotics;sound_engineering,7,100.0
S00006,7,J01667,0.0,cloud_computing;data_science;sql,3,100.0
S00006,8,J01668,0.0,ai/ml;aws;cybersecurity;data_science;python;react,6,100.0
S00006,9,J01669,0.0,ai/ml;c++;game_development;public_policy;python;sound_engineering,6,100.0
S00006,10,J01671,0.0,animation;customer_support;python,3,100.0
S00007,1,J00964,0.8664,,0,0.0
S00007,2,J03916,0.8664,,0,0.0
S00007,3,J00599,0.8664,,0,0.0
S00007,4,J00245,0.8663,,0,0.0
S00007,5,J02706,0.7573,figma;public_policy;tableau,3,42.86
S00007,6,J03587,0.7555,finance;public_policy;sound_engineering,3,42.86
S00007,7,J04008,0.7536,customer_support,1,25.0
S00007,8,J01609,0.752,cloud_computing,1,25.0
S00007,9,J02586,0.6756,branding;figma,2,40.0
S00007,10,J00322,0.6753,animation;kubernetes,2,40.0
S00008,1,J04453,0.8972,,0,0.0
S00008,2,J01956,0.8972,,0,0.0
S00008,3,J03738,0.8952,,0,0.0
S00008,4,J04078,0.7365,it_support;sql,2,40.0
S00008,5,J01851,0.7363,branding;java,2,40.0
S00008,6,J01601,0.7362,customer_support;cybersecurity,2,40.0
S00008,7,J03802,0.7341,cloud_computing;sql,2,40.0
S00008,8,J01391,0.7331,data_science;sound_engineering,2,40.0
S00008,9,J03121,0.7024,cloud_computing;java;public_policy;rocket_science,4,50.0
S00008,10,J04106,0.6826,cybersecurity;robotics;sql,3,50.0
S00009,1,J01707,0.8493,python;react,2,33.33
S00009,2,J00390,0.8125,sql,1,25.0
S00009,3,J02917,0.7548,,0,0.0
S00009,4,J04958,0.7548,,0,0.0
S00009,5,J02124,0.7527,cloud_computing;game_development;iot;tableau,4,50.0
S00009,6,J01827,0.7439,robotics;tableau,2,40.0
S00009,7,J02512,0.7436,branding;java,2,40.0
S00009,8,J03089,0.7429,cloud_computing;react,2,40.0
S00009,9,J02021,0.7399,ai/ml,1,25.0
S00009,10,J01779,0.7136,ai/ml;game_development;public_policy;react,4,50.0
S00010,1,J03884,0.8182,,0,0.0
S00010,2,J03573,0.7738,c++;cloud_computing,2,33.33
S00010,3,J03103,0.7711,game_development;tableau,2,33.33
S00010,4,J03831,0.7323,figma,1,25.0
S00010,5,J02306,0.7321,cybersecurity,1,25.0
S00010,6,J01794,0.7315,iot,1,25.0
S00010,7,J03426,0.7272,finance,1,25.0
S00010,8,J01213,0.7251,branding;game_development;kubernetes,3,42.86
S00010,9,J03823,0.7251,branding;game_development;kubernetes,3,42.86
S00010,10,J01833,0.7251,branding;sql;tableau,3,42.86
S00011,1,J02618,0.7511,basket_weaving,1,25.0
S00011,2,J01096,0.7485,quantum_mechanics,1,25.0
S00011,3,J01850,0.7068,customer_support;figma;public_policy,3,50.0
S00011,4,J02872,0.7054,aws;customer_support;data_science,3,50.0
S00011,5,J00010,0.7042,react;sound_engineering;sql,3,50.0
S00011,6,J02320,0.7033,figma;react;tableau,3,50.0
S00011,7,J00646,0.7028,c++;react;sound_engineering,3,50.0
S00011,8,J01795,0.6727,robotics,1,33.33
S00011,9,J00823,0.6727,sql,1,33.33
S00011,10,J01206,0.6706,cybersecurity,1,33.33
S00012,1,J04975,0.8716,,0,0.0
S00012,2,J03757,0.8716,,0,0.0
S00012,3,J03318,0.7126,finance;game_development,2,28.57
